name,rarity,color_identity
Full-Throttle Fanatic,common,R
Gallant Citizen,common,Multicolor
Galvanized Workforce,common,R
Generous Betty Wray,uncommon,W
Giantcraft Helm,rare,Colorless
"Gloria, the Great Armorer",rare,Multicolor
"Goben, Gene-Splice Savant",mythic,Multicolor
Goblin Bombardment,special,R
"Goro Rel, Scourge to Spiders",uncommon,Colorless
Grow Extra Arms,common,G
Heroic Intervention,special,G
Hex,special,B
Hex of Undeath,mythic,B
Hide in Mundanity,common,U
Hunter's Insight,special,G
Impostor Syndrome,mythic,U
Infernal Grasp,special,B
"Janai and Hoppy, Roofskippers",uncommon,Multicolor
"Kavaero, Mind-Bitten",rare,Multicolor
"Kazuo, Ruthless Rival",uncommon,R
"Kephon, Rage Incubator",common,R
King of the Coldblood Curse,rare,G
"Kivni, Orb Weaver",uncommon,Multicolor
Knife Trick,common,Multicolor
"Kraza, the Swarm as One",rare,R
"Kroble, Envoy of the Bog",uncommon,B
"Kumonosu, the Watchful",uncommon,Multicolor
Lavaborn Goblins,uncommon,R
Lavabrink Repels the Magmaloth,rare,R
"Lazlo, Enthusiastic Accuser",rare,R
Leyline Binding,special,W
Leyline Weaver,common,Multicolor
Lively Leap,common,W
"Lorthos, the Tidemaker",special,U
Lost in Littjara,rare,U
"Luis, Pompous Pillager",rare,B
Lurking Lizards,common,G
"Makdee and Itla, Skysnarers",rare,Multicolor
"Margot, On the Case",uncommon,Multicolor
"Merata, Neuron Hacker",rare,U
Merciless Enforcers,common,B
Miasmic Mist,uncommon,B
Mindbreak Trap,special,U
Mob Lookout,common,Multicolor
Mothwing Shroud,common,W
Multiversal Passage,rare,Colorless
Mystic Confluence,special,U
"Najeela, the Blade-Blossom",special,Multicolor
"Neach, Pinnacle Pariah",mythic,Multicolor
"Nia, Skysail Storyteller",mythic,Multicolor
"Nill, Vessel of Valgavoth",uncommon,B
Nine Lives,special,W
"Nu and Sumi, Career Criminals",uncommon,Multicolor
Obscura Alleylurkers,common,U
"Olx, Mouth to Many Eyes",uncommon,U
Ominous Asylum,common,Multicolor
Opposition Agent,special,B
Opulent Valet,common,Colorless
"Orris, Last of the Web Lords",uncommon,G
Outsmart the Amateur,uncommon,U
"Ozor, Chronicler of Collapse",common,U
Parallel Lives,special,G
Path to Exile,special,W
Perfected Pastry,common,W
Perilous Lunge,common,G
Phantasmal Vision,common,U
Phenomena Recorder,rare,Colorless
Pinnacle Research Team,common,U
Ponder,special,U
Principled Referee,common,W
Prison Break,uncommon,B
"Qoneus, Horizon Splicer",rare,Multicolor
Quint's Insight,rare,R
Reality Fulcrum,rare,Colorless
Reanimate,special,B
Relentless Assault,special,R
Remarkable Readings,rare,W
Remorseless Coup,uncommon,B
Reprieve,special,W
Rest in Peace,special,W
Restless Razorkin,uncommon,R
Rhilex the Accursed,rare,B
Rhino's Rampage,uncommon,Multicolor
"Rishei, Getaway Accomplice",uncommon,Multicolor
Rite of Replication,special,U
"Rizna, the Spider-Crowned",rare,R
Robotics Mastery,uncommon,U
Romantic Rendezvous,common,R
Rouse the Swarm,uncommon,G
"Ruzic, Booed but Victorious",rare,Multicolor
Sadistic String-Puller,common,R
Sarn of the Silken Throne,uncommon,W
Savage Beating,special,R
Savage Mansion,common,Multicolor
Saw in Half,special,B
Scions of the Ur-Spider,mythic,Multicolor
Scorpion's Sting,common,B
"Scorvus Ames, Crimelord",uncommon,B
Scout the City,common,G
Scuttling Spidercoach,uncommon,Colorless
Secret Identity,uncommon,U
Selesnya Archivist,uncommon,G
Shock,special,R
Silkguard,special,G
Sinister Hideout,common,Multicolor
"Skithiryx, the Blight Dragon",special,B
Skittering Kitten,common,R
Skv'x the Augmenter,rare,Multicolor
Snatch Back,common,U
Spectacular Tactics,common,W
Spectral Restitching,rare,U
Steelweb Surveyor,common,Colorless
Stitcher's Wings,rare,Colorless
Strength of Will,rare,G
Suburban Sanctuary,common,Multicolor
Sudden Strike,uncommon,W
Supportive Parents,uncommon,G
"Surris, Spidersilk Innovator",mythic,Multicolor
Tangle,special,G
"Tarantusk, Unwisely Awoken",rare,G
"Tearle, Entropic Hunger",uncommon,Multicolor
Temple Trap,common,R
Terminate,special,Multicolor
Terrific Team-Up,uncommon,G
"Tethex, Gift of Malice",common,B
The Clutter Cluster,uncommon,G
The House Grows Hungry,rare,B
The Infernus,uncommon,R
The Scouring Stormsoul,rare,G
The Terminus of Return,mythic,B
The Watcher on the Road,rare,U
Thrill of Possibility,special,R
Through the Omenpath,mythic,G
Traumatize,special,U
Treat Trolley,common,Colorless
"Uharis, the Stormspinner",rare,Multicolor
Unexpected Windfall,special,R
University Campus,common,Multicolor
Unstable Experiment,common,U
Urban Retreat,rare,Multicolor
"Vazin, Two-Faced Trickster",uncommon,U
Verilax the Havenskin,mythic,W
Vexed Bots,uncommon,U
Vibrant Cityscape,common,Colorless
"Viggo, Enforcer of Ig's Crossing",mythic,Multicolor
Villainous Wrath,rare,B
Vinewoven Chariot,common,G
Wardens of Silverweb Summit,common,R
Wedding Ring,special,W
"Wekhdu, Midnight Hunter",common,B
Winds of Change,special,R
Wisecrack,uncommon,R
"Withar, Cocoon Keeper",mythic,Multicolor
Wonderweave Aerialist,common,Multicolor
"Wrench, Speedway Saboteur",rare,B
"Xecau, Predation's Shadow",uncommon,Multicolor
"Yera and Oski, Weaver and Guide",rare,W
"Zan, Tunnelweb Explorer",common,G
"Zora, Spider Fancier",uncommon,W
