name,rarity,color_identity
Selfless Safewright,rare,G
Shadow Urchin,rare,Multicolor
Shimmercreep,uncommon,B
Shimmerwilds Growth,uncommon,G
Shinestriker,uncommon,U
Shore Lurker,common,W
Silvergill Mentor,uncommon,U
Silvergill Peddler,common,U
Sizzling Changeling,uncommon,R
Slippery Bogle,special,Multicolor
Slumbering Walker,rare,W
Soul Immolation,mythic,R
Soulbright Seeker,uncommon,R
Sourbread Auntie,uncommon,R
Spell Snare,uncommon,U
Spinerock Tyrant,mythic,R
Spiral into Solitude,common,W
Springleaf Drum,special,Colorless
Spry and Mighty,rare,G
Squawkroaster,uncommon,R
Stalactite Dagger,common,Colorless
Steam Vents,rare,Multicolor
Sting-Slinger,uncommon,R
Stoic Grove-Guide,common,Multicolor
Stratosoarer,common,U
Summit Sentinel,common,U
Sun-Dappled Celebrant,common,W
Sunderflock,rare,U
Surly Farrier,common,G
Swat Away,uncommon,U
Sygg's Command,rare,Multicolor
"Sygg, Wanderwine Wisdom",rare,Multicolor
"Tam, Mindful First-Year",rare,Multicolor
Tanufel Rimespeaker,uncommon,U
Taster of Wares,rare,B
Temple Garden,rare,Multicolor
Temporal Cleansing,common,U
Tend the Sprigs,common,G
Thirst for Identity,uncommon,U
Thoughtweft Charge,uncommon,G
Thoughtweft Imbuer,uncommon,W
Thoughtweft Lieutenant,uncommon,Multicolor
Thousand-Year Elixir,special,Colorless
Timid Shieldbearer,common,W
Tributary Vaulter,common,W
Trystan's Command,rare,Multicolor
"Trystan, Callous Cultivator",rare,Multicolor
Tweeze,common,R
Twilight Diviner,rare,B
Twinflame Travelers,uncommon,Multicolor
Unbury,uncommon,B
Unexpected Assistance,common,U
Unforgiving Aim,common,G
Unwelcome Sprite,uncommon,U
Vibrance,mythic,Multicolor
Vinebred Brawler,uncommon,G
Virulent Emissary,uncommon,G
Voracious Tome-Skimmer,uncommon,Multicolor
Wanderbrine Preacher,common,W
Wanderbrine Trapper,uncommon,W
Wanderwine Distracter,common,U
Wanderwine Farewell,uncommon,U
Wanderwine Prophets,special,U
Warren Torchmaster,uncommon,R
Wary Farmer,common,Multicolor
Wild Unraveling,common,U
Wildvine Pummeler,common,G
Winnowing,rare,W
Wistfulness,mythic,Multicolor
